,UniqueID,FeatureNam,FeatureSta,Count
0,10000026011_10000026045_40003539011,Gutter,Under-cons,6
1,10000026011_30600146011_30000146011,Gutter,Open,1
2,10000026011_40003482011_70000901011,Gutter,Open,2
3,10000026011_40003495011_80004922045,Gutter,Blocked,3
4,10000026011_40003495011_80004922045,Gutter,Open,2
5,10000026011_40003539011_80003114045,Gutter,Under-cons,3
6,10000026011_70000901011_Pseudo,Gutter,Blocked,3
7,10000026011_70000901011_Pseudo,Gutter,Open,2
8,10000026011_80003114045_10000026045,Gutter,Under-cons,1
9,10000026011_80004881011_Pseudo,Gutter,Open,4
10,10000026011_80004888011_30600146011,Gutter,Blocked,1
11,10000026011_80004888011_30600146011,Gutter,Open,2
12,10000026011_80004889011_40003495011,Gutter,Under-cons,5
13,10000026011_80004890011_40003482011,Gutter,Open,6
14,10000026011_80004996011_40002148011,Gutter,Open,4
15,10000026011_80006287011_80004889011,Gutter,Open,1
16,10000026011_BC000057_80004996011,Gutter,Open,6
17,10000026011_Pseudo_40003431011,Gutter,Open,3
18,10000026045_BC000011_80003110045,Gutter,Under-cons,1
19,10000026057_40001318057_80005857057,Gutter,Open,6
20,10000026057_40001352057_Pseudo,Gutter,Open,1
21,10000026057_40001552057_30000213057,Gutter,Open,1
22,10000026057_40001609057_40001557057,Gutter,Blocked,1
23,10000026057_40001609057_40001557057,Gutter,Open,9
24,10000026057_40001636057_40001318057,Gutter,Blocked,1
25,10000026057_40001636057_40001318057,Gutter,Open,64
26,10000026057_50096542057_50098080057,Gutter,Open,5
27,10000026057_50096790057_21000023057,Gutter,Open,1
28,10000026057_50096790057_50096790057,Gutter,Open,1
29,10000026057_50096790057_80005858057,Gutter,Open,2
30,10000026057_50097933057_21400023057,Gutter,Open,4
31,10000026057_50098080057_40001352057,Gutter,Open,9
32,10000026057_50099382057_50096542057,Gutter,Open,2
33,10000026057_80003888057_40001609057,Gutter,Open,2
34,10000026057_80005857057_50096790057,Gutter,Open,3
35,10000026057_80005858057_81005014057,Gutter,Blocked,7
36,10000026057_80005858057_81005014057,Gutter,Open,38
37,10000026057_80005858057_81005014057,Traffic-Lights,Ground-Mounted,1
38,10000026057_81005014057_50099382057,Gutter,Open,6
39,10000026057_81005014057_81005014057,Gutter,Open,6
40,10000026057_BS000903_40001636057,Gutter,Open,1
41,10000026057_Pseudo_50097933057,Gutter,Open,5
42,10000040011_10000240011_10000240011,Gutter,Open,1
43,10000040011_20000019011_80004805011,Gutter,Blocked,1
